track_name_encoded,artist_encoded,album_encoded,release_year,duration_min
629,456,557,2019,4.7154444444444446e-05
772,173,690,2021,4.444444444444444e-05
654,24,375,2015,6.395555555555556e-05
336,353,308,2022,4.124583333333333e-05
562,89,491,2018,5.9679444444444446e-05
793,428,712,2021,4.936666666666667e-05
281,225,252,2022,6.484888888888889e-05
314,207,222,2017,5.417777777777778e-05
744,413,649,2022,4.7843055555555554e-05
865,508,770,2021,4.6280277777777773e-05
587,33,515,2022,5.347138888888889e-05
229,354,263,2010,5.9329444444444444e-05
402,354,363,2016,5.9836944444444445e-05
359,124,322,2022,4.867722222222223e-05
869,147,775,2022,3.3518333333333334e-05
646,386,567,2022,4.9875277777777775e-05
369,257,332,2021,4.6658611111111116e-05
830,200,207,2017,5.5900000000000004e-05
171,38,163,2016,6.554055555555555e-05
271,30,250,2012,6.247777777777778e-05
312,307,288,2019,4.3429444444444444e-05
99,260,111,2011,6.798888888888889e-05
6,149,16,2021,4.267388888888888e-05
214,495,195,2018,4.82775e-05
694,149,472,2019,5.679611111111111e-05
189,149,797,2017,6.623333333333334e-05
193,149,794,2014,6.106666666666667e-05
536,149,797,2017,5.257777777777777e-05
77,149,88,2019,5.496277777777778e-05
68,90,77,2022,5.7241666666666664e-05
264,149,797,2017,4.745166666666667e-05
463,201,439,2014,8.785555555555556e-05
25,32,607,2018,5.710916666666667e-05
134,32,607,2018,5.54925e-05
466,421,662,2012,6.942583333333332e-05
142,421,181,2014,4.5785e-05
839,397,744,2017,4.752666666666667e-05
667,62,588,2014,5.7268333333333335e-05
284,38,632,2018,5.487388888888889e-05
843,190,751,2018,5.601666666666667e-05
207,352,417,2015,5.3366666666666665e-05
209,438,789,2017,6.39925e-05
878,205,783,2022,3.5494444444444446e-05
253,318,235,2023,5.5681666666666666e-05
124,379,120,2022,6.647694444444444e-05
728,336,629,2021,4.5284722222222215e-05
222,371,203,2022,7.565916666666668e-05
50,193,275,2022,4.647305555555555e-05
585,410,546,2020,5.413888888888888e-05
507,196,197,2019,6.0873888888888884e-05
41,438,437,2022,5.5747222222222225e-05
655,318,431,2007,5.290361111111111e-05
670,307,591,2017,5.0228333333333335e-05
174,243,508,2013,5.990888888888888e-05
602,341,530,2018,4.904472222222222e-05
848,430,757,2022,4.416888888888888e-05
481,312,644,2022,3.729333333333333e-05
178,312,694,2015,5.1173888888888886e-05
833,413,382,2001,5.4488888888888884e-05
305,343,280,2022,4.0993888888888885e-05
444,63,176,2022,4.8333888888888886e-05
662,90,560,2019,6.103944444444443e-05
514,42,60,2021,5.583777777777778e-05
584,269,514,2022,5.133083333333333e-05
410,396,568,2022,4.276277777777778e-05
354,37,23,2013,5.1098888888888884e-05
873,211,791,2022,5.8127499999999995e-05
826,137,737,2023,6.203972222222222e-05
60,438,606,2010,8.14e-05
766,438,606,2010,7.38e-05
644,384,400,2010,6.764805555555556e-05
531,220,85,2013,6.468888888888889e-05
719,438,8,2014,6.416666666666666e-05
579,438,407,2019,6.177777777777777e-05
474,438,407,2019,5.3611111111111115e-05
471,438,408,2019,6.147388888888889e-05
578,138,511,2023,6.437499999999999e-05
191,261,474,2019,5.616444444444445e-05
551,155,483,2022,4.7010277777777775e-05
484,360,422,2019,6.469611111111111e-05
162,332,151,2021,4.6666666666666665e-05
265,120,79,2004,5.35e-05
483,115,421,2016,5.473666666666666e-05
145,120,138,2019,5.3673888888888886e-05
554,270,13,2019,4.362944444444445e-05
537,352,214,2014,6.294444444444445e-05
505,438,437,2022,4.855055555555555e-05
37,338,96,2022,5.356388888888889e-05
55,99,720,2018,5.799611111111111e-05
462,153,168,2015,7.014833333333333e-05
227,95,497,2011,5.531111111111111e-05
883,215,785,2021,5.087027777777778e-05
429,198,243,2013,6.217777777777778e-05
837,448,30,2017,5.9929444444444445e-05
148,190,66,2015,5.965583333333333e-05
592,400,520,2017,5.019166666666666e-05
611,403,170,2019,5.261027777777778e-05
364,144,192,2017,6.054055555555555e-05
557,21,489,2019,5.3832500000000003e-05
371,21,334,2018,5.841333333333333e-05
631,243,508,2013,6.20961111111111e-05
669,38,163,2016,6.282222222222222e-05
693,128,652,2017,5.66e-05
568,81,495,2000,5.865555555555555e-05
649,410,554,2015,6.363333333333334e-05
140,410,613,2013,6.444055555555555e-05
785,354,679,2012,6.40925e-05
3,438,549,2012,6.447777777777777e-05
811,438,549,2012,5.3651666666666667e-05
330,24,300,2016,4.8754722222222214e-05
770,89,688,2016,6.171111111111111e-05
133,261,129,2021,7.532666666666666e-05
665,410,547,2020,4.8055277777777776e-05
468,410,613,2013,5.843333333333333e-05
447,410,546,2020,4.5165277777777775e-05
673,410,593,2023,4.7681944444444444e-05
450,410,546,2020,5.7349444444444446e-05
370,507,333,2023,4.3604166666666665e-05
78,66,89,2024,5.008444444444444e-05
863,3,768,2018,5.650472222222222e-05
658,17,9,2011,6.74925e-05
851,318,78,2013,6.148888888888888e-05
127,276,727,2018,4.6136944444444444e-05
216,114,148,2010,6.975166666666667e-05
202,438,789,2017,6.567027777777778e-05
428,361,44,2013,7.02036111111111e-05
677,17,596,2012,7.957777777777777e-05
698,156,671,2000,0.00011225166666666667
141,8,137,2023,5.2076944444444445e-05
634,17,9,2011,6.335916666666667e-05
310,17,10,2015,8.208388888888889e-05
771,334,689,2022,4.657166666666666e-05
71,127,82,2018,5.454805555555555e-05
205,216,42,2009,5.902944444444444e-05
218,135,152,2022,4.423472222222222e-05
599,483,528,2023,7.306666666666668e-05
800,476,26,2015,5.4588888888888886e-05
437,208,391,2022,4.142833333333333e-05
241,205,223,2024,3.711333333333333e-05
242,233,457,2009,7.133305555555555e-05
106,233,93,2012,4.75925e-05
460,233,457,2009,5.3214722222222215e-05
820,233,536,2015,5.713333333333333e-05
594,397,522,2024,5.1768055555555554e-05
224,397,204,2024,4.873861111111111e-05
742,380,645,2017,4.5777777777777776e-05
855,438,225,2008,6.447777777777777e-05
355,204,347,2019,4.4903888888888887e-05
639,288,178,2014,6.245555555555555e-05
120,93,371,2012,5.3722222222222216e-05
688,181,423,2011,6.802333333333334e-05
103,260,111,2011,7.229222222222222e-05
44,457,586,2007,5.1222222222222223e-05
387,69,64,2007,6.32925e-05
684,331,339,2006,5.7551666666666666e-05
152,69,142,2015,6.288888888888888e-05
105,183,264,2017,7.287027777777777e-05
84,304,94,2024,4.119916666666667e-05
431,303,703,2004,6.92e-05
295,83,185,2010,6.169194444444445e-05
390,77,145,2000,6.235916666666666e-05
10,284,409,2016,6.591666666666667e-05
566,398,494,2022,6.068e-05
517,27,156,2019,5.3651666666666667e-05
543,397,777,2022,4.545777777777777e-05
794,460,714,2020,4.7985e-05
773,249,51,2010,5.547027777777778e-05
759,203,670,2022,4.4262222222222216e-05
671,156,665,2002,9.431833333333332e-05
92,402,704,2007,5.440722222222222e-05
291,438,789,2017,5.824444444444445e-05
107,38,452,2014,5.9677777777777775e-05
403,452,468,2018,5.871111111111112e-05
533,492,602,2017,5.9285277777777775e-05
623,20,262,2003,7.516666666666666e-05
745,438,648,2006,4.9740555555555554e-05
704,38,163,2016,5.023694444444444e-05
39,318,518,2020,5.457027777777778e-05
286,444,533,1981,5.167722222222222e-05
547,305,380,2019,6.030527777777778e-05
333,109,19,2015,7.174055555555555e-05
813,318,78,2013,6.423333333333334e-05
16,372,25,2024,4.719916666666667e-05
414,61,208,2018,5.738333333333334e-05
384,38,163,2016,6.790361111111111e-05
633,49,559,2017,6.62738888888889e-05
358,436,279,2017,0.00014061111111111113
752,182,676,2024,4.619444444444444e-05
493,424,626,2013,5.138888888888888e-05
485,110,369,2020,5.160361111111111e-05
441,382,443,2016,6.932944444444445e-05
867,509,772,2024,5.954361111111111e-05
868,38,773,2019,5.169611111111111e-05
254,347,236,2024,4.570722222222222e-05
675,118,666,2006,6.444444444444443e-05
829,125,682,2012,5.069444444444444e-05
882,505,780,2024,3.04e-05
13,376,246,2019,3.6635555555555556e-05
17,174,254,2017,0.00011726277777777777
495,241,429,2023,4.351972222222222e-05
495,12,429,2021,4.854527777777778e-05
225,226,764,2009,5.4359166666666666e-05
739,340,641,2018,3.6156666666666666e-05
731,446,316,2013,6.677777777777779e-05
664,340,584,2019,6.527777777777778e-05
42,137,45,2025,6.925055555555555e-05
630,71,130,2018,6.003694444444444e-05
746,243,651,2012,6.326666666666667e-05
419,243,650,2010,6.40925e-05
511,10,21,2008,5.1885e-05
449,397,594,2019,5.0311111111111116e-05
26,412,37,2024,4.490416666666666e-05
638,151,562,2021,6.208888888888888e-05
504,287,302,2011,6.776666666666667e-05
292,418,742,2015,5.7533333333333334e-05
282,53,99,2017,7.476361111111111e-05
870,317,748,2015,7.960361111111111e-05
522,387,453,2014,7.220361111111111e-05
352,64,318,2016,6.151750000000001e-05
129,162,127,2013,5.615916666666666e-05
700,454,612,2016,3.1011111111111114e-05
20,454,34,2020,0.00010028444444444444
627,194,486,2014,5.913333333333333e-05
709,319,573,2013,8.713444444444445e-05
650,225,463,2020,5.0005e-05
21,346,35,2017,5.387805555555555e-05
156,446,749,2015,6.532222222222221e-05
831,259,205,2019,4.849083333333333e-05
381,202,344,2012,8.555833333333333e-05
27,157,330,2013,5.681833333333333e-05
726,9,628,2018,4.3945833333333335e-05
707,150,616,2009,6.878166666666667e-05
373,40,57,2014,5.046666666666667e-05
751,19,631,2009,7.046666666666667e-05
635,442,561,2015,6.298277777777779e-05
850,124,758,2016,5.4901944444444446e-05
824,189,734,1992,7.510361111111111e-05
501,124,493,2010,5.857027777777777e-05
816,384,646,2011,5.9785e-05
571,123,681,2009,6.932583333333333e-05
526,89,456,2016,6.08775e-05
523,387,454,2014,7.220388888888889e-05
263,443,537,2005,0.0001093925
503,119,198,2016,6.127027777777778e-05
812,157,726,2008,7.427027777777777e-05
893,317,558,2016,7.037388888888888e-05
749,252,425,2020,5.36925e-05
244,89,6,2012,5.7336944444444446e-05
601,275,529,2014,5.261472222222222e-05
459,293,315,2022,4.524305555555555e-05
733,89,6,2012,5.904444444444445e-05
607,166,697,2011,6.655555555555555e-05
327,454,702,2012,0.00011255916666666666
161,454,702,2012,7.652583333333333e-05
266,454,165,2022,5.8934722222222214e-05
396,79,721,2022,4.6948055555555556e-05
600,454,667,2021,5.872777777777778e-05
473,272,390,2017,4.3333333333333334e-05
755,461,46,2021,6.290722222222223e-05
534,59,465,2017,0.00011516388888888888
828,454,297,2011,5.733916666666667e-05
648,475,571,2019,2.5480833333333335e-05
93,362,100,2017,6.8985e-05
221,129,677,1998,7.087027777777778e-05
322,467,107,2015,6.526277777777778e-05
686,446,273,2018,5.7300000000000004e-05
895,70,722,2019,6.153972222222222e-05
894,480,566,2018,4.3826666666666665e-05
570,454,165,2022,5.9498055555555556e-05
538,244,499,2013,7.147777777777778e-05
596,79,524,2016,5.916444444444444e-05
261,79,261,2021,5.9636666666666664e-05
581,142,445,2017,8.303888888888889e-05
426,102,122,2011,8.813694444444446e-05
8,464,28,2018,5.4482777777777775e-05
49,261,294,2015,8.196277777777778e-05
101,440,109,2021,8.206861111111111e-05
796,446,273,2018,5.657388888888889e-05
452,212,572,2017,0.00015829805555555557
735,192,325,2012,8.928833333333334e-05
143,446,273,2018,4.6655555555555545e-05
516,432,447,2022,6.5e-05
454,176,304,2019,5.613694444444444e-05
553,244,372,2013,7.023694444444444e-05
573,70,271,2021,5.839777777777778e-05
325,321,287,2022,5.481472222222222e-05
19,323,691,2014,7.142972222222222e-05
818,261,705,2014,7.132222222222222e-05
696,368,771,2018,5.404444444444444e-05
203,454,165,2022,5.707472222222222e-05
626,454,34,2020,5.439305555555555e-05
886,271,376,2022,2.3711111111111113e-05
427,454,165,2022,5.8837222222222224e-05
115,325,31,2004,8.381472222222222e-05
575,247,150,2017,7.645916666666667e-05
535,180,466,2022,5.9763611111111114e-05
643,79,565,2015,7.834444444444444e-05
259,259,205,2019,2.5519166666666668e-05
421,305,381,2019,6.973e-05
621,102,0,2016,9.081472222222223e-05
223,371,202,2024,5.792833333333333e-05
714,138,295,2019,6.305166666666667e-05
118,70,267,2024,8.428888888888889e-05
316,390,289,2024,4.6944444444444446e-05
331,461,303,2023,3.9111111111111115e-05
753,454,301,2025,7.857583333333333e-05
666,479,587,2025,4.9156944444444446e-05
417,247,150,2017,5.927777777777777e-05
22,138,576,2023,7.37111111111111e-05
817,18,731,2025,4.001638888888888e-05
329,218,299,2024,7.719277777777779e-05
768,167,774,2012,5.5762777777777776e-05
877,41,782,2024,3.958722222222222e-05
700,454,612,2016,3.100722222222222e-05
287,82,256,2024,3.8554166666666664e-05
530,384,24,2016,5.3222222222222225e-05
553,244,485,2013,7.042944444444445e-05
539,167,104,2016,8.531972222222221e-05
451,383,398,2025,4.847222222222222e-05
438,171,634,2020,7.243777777777778e-05
702,462,539,2014,7.177388888888889e-05
177,79,167,2020,6.863305555555555e-05
163,333,153,2024,5.9677777777777775e-05
678,15,597,2022,4.590638888888889e-05
388,455,795,2009,4.4644444444444445e-05
701,248,657,2024,5.422888888888889e-05
715,146,620,2025,4.077222222222222e-05
527,70,271,2021,5.4382222222222214e-05
